TransactionId,TransactionDate,BusinessUnit,DepartmentName,ProjectName,Country,Account,Amount
T11208,2024-12-01 00:00:00,Core Program,M&E,Soil Health,KE,10001,3774
T03686,2024-12-01 00:00:00,Core Program,M&E,Expansion,DRC,10005,5056
T05300,2024-12-01 00:00:00,Retail,Finance,Farmer Training,KE,10003,1571
T05299,2024-12-01 00:00:00,Health,Field Operations,Farmer Training,DRC,10004,1846
T22635,2024-12-01 00:00:00,Agri,Finance,Farmer Training,DRC,10002,1536
T01526,2024-12-01 00:00:00,R&D,M&E,Yield Improvement,RW,10003,3571
T11274,2024-12-01 00:00:00,Health,Logistics,Yield Improvement,DRC,10002,1571
T19072,2024-12-01 00:00:00,Agri,Logistics,Soil Health,UG,10005,50
T09213,2024-12-01 00:00:00,Health,Field Operations,Farmer Training,KE,10005,4180
T03522,2024-12-01 00:00:00,Health,M&E,Trees,UG,10003,5250
T05444,2024-12-01 00:00:00,Education,Logistics,Yield Improvement,UG,10001,3057
T14282,2024-12-01 00:00:00,Education,Field Operations,Trees,RW,10004,3807
T16274,2024-12-01 00:00:00,Agri,Field Operations,Expansion,DRC,10002,2100
T05437,2024-12-01 00:00:00,Retail,Finance,Yield Improvement,RW,10004,731
T14272,2024-12-01 00:00:00,Core Program,M&E,Soil Health,KE,10002,1230
T03535,2024-12-01 00:00:00,Agri,M&E,Soil Health,TZ,10003,3200
T00773,2024-12-01 00:00:00,R&D,Logistics,Farmer Training,DRC,10002,1636
T11361,2024-12-01 00:00:00,R&D,M&E,Expansion,DRC,10004,6408
T01555,2024-12-01 00:00:00,Agri,M&E,Farmer Training,DRC,10004,4570
T05415,2024-12-01 00:00:00,R&D,Logistics,Expansion,TZ,10001,4474
T03511,2024-12-01 00:00:00,Agri,Logistics,Farmer Training,DRC,10004,3209
T17744,2024-12-01 00:00:00,R&D,Logistics,Expansion,DRC,10002,4167
T11320,2024-12-01 00:00:00,R&D,Field Operations,Soil Health,TZ,10002,2016
T16269,2024-12-01 00:00:00,R&D,M&E,Soil Health,TZ,10001,50
T24013,2024-12-01 00:00:00,Core Program,Logistics,Farmer Training,DRC,10002,22971
T11314,2024-12-01 00:00:00,Agri,M&E,Trees,RW,10005,3866
T11312,2024-12-01 00:00:00,Health,Field Operations,Soil Health,KE,10005,2082
T00788,2024-12-01 00:00:00,Retail,Finance,Yield Improvement,TZ,10003,3150
T05399,2024-12-01 00:00:00,Retail,Finance,Soil Health,KE,10004,3088
T11297,2024-12-01 00:00:00,Retail,M&E,Farmer Training,UG,10002,50
T15730,2024-12-01 00:00:00,Education,Finance,Trees,RW,10004,3131
T09267,2024-12-01 00:00:00,R&D,Field Operations,Farmer Training,UG,10001,3738
T17782,2024-12-01 00:00:00,Education,M&E,Farmer Training,UG,10001,2725
T00798,2024-12-01 00:00:00,Agri,Logistics,Trees,DRC,10004,2707
T11340,2024-12-01 00:00:00,Health,Finance,Expansion,DRC,10002,3645
T01498,2024-12-01 00:00:00,Education,Finance,Expansion,RW,10003,3394
T14406,2024-12-01 00:00:00,Agri,M&E,Expansion,KE,10004,3301
T21383,2024-12-01 00:00:00,R&D,Logistics,Yield Improvement,UG,10005,2348
T15534,2024-12-01 00:00:00,Retail,M&E,Expansion,DRC,10002,2280
T08566,2024-12-01 00:00:00,Education,M&E,Farmer Training,DRC,10002,50
T11918,2024-12-01 00:00:00,Agri,Finance,Soil Health,RW,10004,2124
T14566,2024-12-01 00:00:00,Retail,Logistics,Expansion,TZ,10004,2857
T15538,2024-12-01 00:00:00,Agri,Logistics,Expansion,UG,10001,1281
T11916,2024-12-01 00:00:00,Retail,Finance,Farmer Training,KE,10003,1699
T17351,2024-12-01 00:00:00,Retail,Finance,Expansion,TZ,10005,4043
T01764,2024-12-01 00:00:00,Health,Field Operations,Expansion,DRC,10005,664
T24650,2024-12-01 00:00:00,Core Program,Finance,Trees,KE,10002,1297
T11892,2024-12-01 00:00:00,Health,Logistics,Yield Improvement,RW,10001,3238
T01762,2024-12-01 00:00:00,Education,Logistics,Trees,RW,10004,5104
T08634,2024-12-01 00:00:00,Education,M&E,Farmer Training,KE,10001,3314
T05950,2024-12-01 00:00:00,Retail,Finance,Yield Improvement,KE,10005,194
T00548,2024-12-01 00:00:00,Health,Finance,Trees,KE,10003,1185
T03052,2024-12-01 00:00:00,Core Program,M&E,Farmer Training,UG,10005,5421
T11889,2024-12-01 00:00:00,Health,M&E,Soil Health,RW,10004,3347
T14537,2024-12-01 00:00:00,Retail,M&E,Expansion,TZ,10002,3390
T03058,2024-12-01 00:00:00,Agri,M&E,Trees,TZ,10002,1259
T21234,2024-12-01 00:00:00,Agri,M&E,Yield Improvement,TZ,10001,25179
T17361,2024-12-01 00:00:00,Health,Finance,Trees,RW,10001,3109
T16398,2024-12-01 00:00:00,Education,Finance,Expansion,KE,10005,2540
T23001,2024-12-01 00:00:00,Core Program,Logistics,Trees,TZ,10003,886
T05932,2024-12-01 00:00:00,Agri,Field Operations,Farmer Training,UG,10003,11250
T17374,2024-12-01 00:00:00,R&D,M&E,Soil Health,KE,10001,455
T08681,2024-12-01 00:00:00,Health,Finance,Yield Improvement,KE,10004,2302
T21178,2024-12-01 00:00:00,Agri,Field Operations,Trees,RW,10005,2444
T13213,2024-12-01 00:00:00,Retail,Finance,Trees,UG,10003,16359
T08563,2024-12-01 00:00:00,Retail,Logistics,Trees,RW,10003,820
T17324,2024-12-01 00:00:00,Retail,Field Operations,Trees,DRC,10001,1397
T02913,2024-12-01 00:00:00,Retail,M&E,Farmer Training,UG,10002,12326
T13186,2024-12-01 00:00:00,Retail,Finance,Yield Improvement,TZ,10002,3049
T00481,2024-12-01 00:00:00,Core Program,M&E,Yield Improvement,UG,10003,2284
T08467,2024-12-01 00:00:00,R&D,M&E,Trees,KE,10003,3995
T23090,2024-12-01 00:00:00,R&D,Field Operations,Expansion,KE,10003,8642
T11986,2024-12-01 00:00:00,Agri,M&E,Yield Improvement,RW,10004,554
T23085,2024-12-01 00:00:00,Core Program,Field Operations,Soil Health,UG,10004,3581
T08479,2024-12-01 00:00:00,Retail,Logistics,Trees,UG,10005,3533
T14619,2024-12-01 00:00:00,Health,Finance,Soil Health,DRC,10004,3710
T08489,2024-12-01 00:00:00,Core Program,Field Operations,Yield Improvement,UG,10005,4611
T21149,2024-12-01 00:00:00,R&D,Field Operations,Trees,RW,10005,356
T00497,2024-12-01 00:00:00,Retail,Field Operations,Soil Health,RW,10005,5534
T19400,2024-12-01 00:00:00,R&D,Finance,Trees,KE,10004,4790
T17303,2024-12-01 00:00:00,Retail,M&E,Trees,UG,10002,50
T02958,2024-12-01 00:00:00,Retail,Finance,Expansion,RW,10003,4082
T19528,2024-12-01 00:00:00,Retail,M&E,Yield Improvement,KE,10002,5434
T15511,2024-12-01 00:00:00,Core Program,Logistics,Farmer Training,RW,10004,2293
T24665,2024-12-01 00:00:00,Health,M&E,Expansion,DRC,10001,7444
T08524,2024-12-01 00:00:00,R&D,Logistics,Yield Improvement,UG,10002,649
T23071,2024-12-01 00:00:00,Core Program,M&E,Trees,UG,10002,2889
T14597,2024-12-01 00:00:00,Education,Field Operations,Yield Improvement,UG,10002,1213
T06033,2024-12-01 00:00:00,Retail,Logistics,Expansion,RW,10003,4486
T23067,2024-12-01 00:00:00,Core Program,Field Operations,Expansion,TZ,10002,2709
T02987,2024-12-01 00:00:00,Core Program,Field Operations,Farmer Training,DRC,10001,667
T01783,2024-12-01 00:00:00,Retail,Field Operations,Expansion,RW,10003,4088
T23847,2024-12-01 00:00:00,Health,Logistics,Yield Improvement,KE,10003,1220
T16431,2024-12-01 00:00:00,Core Program,Finance,Soil Health,TZ,10002,604
T05674,2024-12-01 00:00:00,Core Program,Logistics,Yield Improvement,DRC,10004,4708
T19388,2024-12-01 00:00:00,Retail,Finance,Trees,DRC,10001,7255
T22996,2024-12-01 00:00:00,Core Program,M&E,Farmer Training,TZ,10003,5206
T22900,2024-12-01 00:00:00,R&D,Finance,Farmer Training,DRC,10004,1087
T01690,2024-12-01 00:00:00,R&D,Logistics,Expansion,UG,10003,1323
T21333,2024-12-01 00:00:00,R&D,M&E,Farmer Training,KE,10005,1107
T05765,2024-12-01 00:00:00,R&D,Finance,Expansion,DRC,10005,6972
T16363,2024-12-01 00:00:00,R&D,Field Operations,Expansion,TZ,10005,15083
T00632,2024-12-01 00:00:00,Retail,M&E,Expansion,RW,10001,5328
T16362,2024-12-01 00:00:00,Retail,Field Operations,Trees,KE,10005,944
T14439,2024-12-01 00:00:00,R&D,M&E,Yield Improvement,DRC,10005,3629
T03226,2024-12-01 00:00:00,Health,M&E,Farmer Training,KE,10004,5250
T05737,2024-12-01 00:00:00,Health,Finance,Trees,TZ,10003,1167
T11702,2024-12-01 00:00:00,Retail,Field Operations,Expansion,KE,10004,14591
T01678,2024-12-01 00:00:00,R&D,Logistics,Farmer Training,RW,10001,50
T16354,2024-12-01 00:00:00,Retail,Logistics,Soil Health,RW,10004,3341
T11696,2024-12-01 00:00:00,Agri,Logistics,Trees,KE,10003,4825
T00646,2024-12-01 00:00:00,Education,Logistics,Farmer Training,TZ,10001,24515
T11691,2024-12-01 00:00:00,Core Program,Logistics,Expansion,TZ,10002,4424
T17505,2024-12-01 00:00:00,Core Program,Field Operations,Soil Health,DRC,10001,1583
T17511,2024-12-01 00:00:00,Education,Finance,Trees,DRC,10001,944
T01660,2024-12-01 00:00:00,Core Program,Logistics,Trees,TZ,10001,2254
T13333,2024-12-01 00:00:00,Agri,Finance,Expansion,KE,10004,2075
T21375,2024-12-01 00:00:00,Health,Finance,Trees,TZ,10004,5324
T03277,2024-12-01 00:00:00,Retail,Finance,Trees,TZ,10002,5456
T08944,2024-12-01 00:00:00,Agri,M&E,Soil Health,RW,10005,16892
T05690,2024-12-01 00:00:00,Education,Logistics,Expansion,DRC,10001,808
T19250,2024-12-01 00:00:00,Education,Logistics,Farmer Training,KE,10004,4279
T05787,2024-12-01 00:00:00,R&D,Field Operations,Trees,KE,10001,7140
T13302,2024-12-01 00:00:00,Education,Logistics,Farmer Training,TZ,10001,2352
T22906,2024-12-01 00:00:00,Retail,M&E,Farmer Training,TZ,10002,6081
T21311,2024-12-01 00:00:00,Education,Logistics,Soil Health,RW,10004,5317
T22992,2024-12-01 00:00:00,Agri,M&E,Expansion,TZ,10003,7585
T08740,2024-12-01 00:00:00,R&D,Finance,Trees,DRC,10004,4731
T00577,2024-12-01 00:00:00,Retail,Logistics,Yield Improvement,RW,10001,2695
T05881,2024-12-01 00:00:00,Agri,Logistics,Yield Improvement,KE,10001,425
T21254,2024-12-01 00:00:00,Core Program,Logistics,Expansion,UG,10002,1702
T22981,2024-12-01 00:00:00,R&D,Finance,Farmer Training,UG,10001,2435
T13262,2024-12-01 00:00:00,Health,Field Operations,Soil Health,TZ,10003,5107
T05862,2024-12-01 00:00:00,Core Program,Field Operations,Expansion,KE,10003,2452
T05859,2024-12-01 00:00:00,Agri,M&E,Expansion,RW,10002,6734
T08775,2024-12-01 00:00:00,Core Program,Field Operations,Trees,TZ,10005,4550
T13273,2024-12-01 00:00:00,Education,Logistics,Soil Health,UG,10003,5508
T17410,2024-12-01 00:00:00,R&D,M&E,Expansion,DRC,10004,1073
T19386,2024-12-01 00:00:00,Health,M&E,Soil Health,RW,10004,3724
T01720,2024-12-01 00:00:00,Health,Logistics,Farmer Training,UG,10003,50
T08799,2024-12-01 00:00:00,R&D,Field Operations,Trees,TZ,10003,4682
T17434,2024-12-01 00:00:00,Education,Finance,Yield Improvement,TZ,10003,50
T19330,2024-12-01 00:00:00,Agri,M&E,Expansion,KE,10003,2598
T14474,2024-12-01 00:00:00,Core Program,Logistics,Soil Health,RW,10003,4388
T22938,2024-12-01 00:00:00,Core Program,Finance,Trees,DRC,10002,3936
T01711,2024-12-01 00:00:00,Education,Finance,Expansion,KE,10004,1225
T05819,2024-12-01 00:00:00,R&D,Field Operations,Trees,RW,10004,928
T08817,2024-12-01 00:00:00,Agri,Logistics,Farmer Training,RW,10004,2371
T08822,2024-12-01 00:00:00,Agri,Field Operations,Expansion,UG,10002,790
T22176,2024-12-01 00:00:00,Core Program,Logistics,Farmer Training,UG,10005,2926
T16371,2024-12-01 00:00:00,Education,M&E,Expansion,RW,10002,6318
T22909,2024-12-01 00:00:00,Agri,M&E,Soil Health,RW,10005,3209
T08794,2024-12-01 00:00:00,R&D,Field Operations,Yield Improvement,RW,10002,3336
T15471,2024-12-01 00:00:00,R&D,Logistics,Farmer Training,UG,10002,23379
T09370,2024-12-01 00:00:00,Core Program,Logistics,Farmer Training,RW,10004,4099
T22584,2024-12-01 00:00:00,Agri,Logistics,Soil Health,KE,10001,3449
T21954,2024-12-01 00:00:00,Education,Field Operations,Yield Improvement,KE,10001,1540
T09999,2024-12-01 00:00:00,Core Program,Field Operations,Yield Improvement,TZ,10002,5049
T01089,2024-12-01 00:00:00,R&D,M&E,Soil Health,KE,10001,3813
T04763,2024-12-01 00:00:00,Core Program,M&E,Expansion,UG,10003,2753
T15957,2024-12-01 00:00:00,R&D,Finance,Yield Improvement,DRC,10003,4234
T15960,2024-12-01 00:00:00,Core Program,Field Operations,Farmer Training,RW,10002,3928
T01095,2024-12-01 00:00:00,Education,Finance,Expansion,UG,10001,6046
T04746,2024-12-01 00:00:00,Retail,M&E,Trees,RW,10003,1820
T04132,2024-12-01 00:00:00,Retail,Logistics,Expansion,KE,10005,1396
T04739,2024-12-01 00:00:00,Core Program,Finance,Trees,RW,10005,1626
T01329,2024-12-01 00:00:00,Retail,Field Operations,Trees,KE,10004,3413
T04735,2024-12-01 00:00:00,R&D,Finance,Expansion,DRC,10002,5376
T18586,2024-12-01 00:00:00,Agri,Field Operations,Trees,RW,10005,574
T21977,2024-12-01 00:00:00,Health,M&E,Soil Health,DRC,10001,918
T13683,2024-12-01 00:00:00,Core Program,Field Operations,Soil Health,UG,10001,21061
T04713,2024-12-01 00:00:00,Health,Logistics,Yield Improvement,UG,10005,3612
T10070,2024-12-01 00:00:00,Retail,Field Operations,Yield Improvement,KE,10001,4093
T01106,2024-12-01 00:00:00,Core Program,Field Operations,Expansion,RW,10003,4484
T22317,2024-12-01 00:00:00,Agri,Logistics,Farmer Training,RW,10005,4135
T10713,2024-12-01 00:00:00,Retail,M&E,Trees,KE,10001,3288
T13700,2024-12-01 00:00:00,Education,Logistics,Expansion,KE,10002,3730
T10084,2024-12-01 00:00:00,Retail,Field Operations,Soil Health,RW,10001,878
T04158,2024-12-01 00:00:00,Retail,Field Operations,Trees,DRC,10005,5192
T10104,2024-12-01 00:00:00,Education,M&E,Soil Health,KE,10002,1243
T04183,2024-12-01 00:00:00,Agri,Finance,Farmer Training,RW,10001,2899
T04775,2024-12-01 00:00:00,R&D,M&E,Soil Health,TZ,10002,2192
T04115,2024-12-01 00:00:00,Education,M&E,Soil Health,KE,10003,21051
T01336,2024-12-01 00:00:00,Agri,Logistics,Trees,RW,10004,3673
T21921,2024-12-01 00:00:00,Agri,Finance,Farmer Training,UG,10002,3402
T21882,2024-12-01 00:00:00,Education,Finance,Soil Health,KE,10005,3931
T18684,2024-12-01 00:00:00,Health,Field Operations,Yield Improvement,UG,10003,5172
T18124,2024-12-01 00:00:00,R&D,Field Operations,Farmer Training,RW,10002,1665
T21890,2024-12-01 00:00:00,Core Program,Field Operations,Trees,KE,10001,50
T10770,2024-12-01 00:00:00,Retail,M&E,Trees,KE,10001,5346
T18677,2024-12-01 00:00:00,R&D,Logistics,Expansion,TZ,10004,6474
T01054,2024-12-01 00:00:00,Agri,Finance,Soil Health,KE,10001,4562
T04849,2024-12-01 00:00:00,Retail,Finance,Soil Health,KE,10005,2921
T21898,2024-12-01 00:00:00,R&D,Field Operations,Soil Health,KE,10005,5365
T18666,2024-12-01 00:00:00,Agri,Logistics,Yield Improvement,KE,10004,6486
T18665,2024-12-01 00:00:00,Education,Logistics,Yield Improvement,KE,10002,4698
T13944,2024-12-01 00:00:00,Agri,Logistics,Yield Improvement,TZ,10004,6277
T10668,2024-12-01 00:00:00,Education,M&E,Yield Improvement,DRC,10003,6707
T09937,2024-12-01 00:00:00,Retail,Finance,Yield Improvement,UG,10005,3895
T18660,2024-12-01 00:00:00,R&D,M&E,Expansion,KE,10004,50
T01349,2024-12-01 00:00:00,Core Program,Finance,Yield Improvement,UG,10003,3706
T22342,2024-12-01 00:00:00,Agri,Logistics,Soil Health,KE,10002,3508
T04816,2024-12-01 00:00:00,Agri,Field Operations,Soil Health,RW,10001,628
T09966,2024-12-01 00:00:00,Agri,Logistics,Soil Health,RW,10003,6234
T10762,2024-12-01 00:00:00,Retail,Field Operations,Farmer Training,RW,10001,461
T01074,2024-12-01 00:00:00,Retail,M&E,Trees,UG,10004,5062
T09968,2024-12-01 00:00:00,Health,Finance,Soil Health,DRC,10005,4849
T01343,2024-12-01 00:00:00,R&D,Logistics,Soil Health,KE,10002,5806
T04805,2024-12-01 00:00:00,Education,Logistics,Soil Health,DRC,10002,4531
T04112,2024-12-01 00:00:00,Agri,Logistics,Farmer Training,KE,10002,19952
T01081,2024-12-01 00:00:00,Education,M&E,Farmer Training,TZ,10005,4215
T13938,2024-12-01 00:00:00,Agri,M&E,Trees,KE,10005,905
T13656,2024-12-01 00:00:00,Retail,Logistics,Soil Health,DRC,10003,3311
T04190,2024-12-01 00:00:00,Health,Logistics,Yield Improvement,RW,10004,1064
T18214,2024-12-01 00:00:00,Core Program,Field Operations,Trees,KE,10003,798
T18324,2024-12-01 00:00:00,Health,Field Operations,Trees,KE,10001,3350
T04534,2024-12-01 00:00:00,Core Program,Field Operations,Expansion,TZ,10005,1850
T10296,2024-12-01 00:00:00,Agri,Finance,Expansion,RW,10005,5110
T04333,2024-12-01 00:00:00,R&D,Logistics,Soil Health,TZ,10005,5769
T04502,2024-12-01 00:00:00,Agri,Field Operations,Farmer Training,KE,10004,2040
T22127,2024-12-01 00:00:00,Agri,Finance,Farmer Training,TZ,10003,827
T10457,2024-12-01 00:00:00,Health,Logistics,Expansion,RW,10004,6332
T22134,2024-12-01 00:00:00,Agri,Logistics,Soil Health,TZ,10002,298
T22140,2024-12-01 00:00:00,Retail,M&E,Expansion,RW,10004,1961
T04459,2024-12-01 00:00:00,Core Program,M&E,Expansion,TZ,10005,2802
T16062,2024-12-01 00:00:00,Agri,Finance,Trees,DRC,10001,5801
T22154,2024-12-01 00:00:00,Health,Finance,Trees,TZ,10002,7252
T18342,2024-12-01 00:00:00,Agri,Finance,Expansion,KE,10005,4308
T10364,2024-12-01 00:00:00,Health,M&E,Expansion,RW,10003,6188
T10441,2024-12-01 00:00:00,Education,Logistics,Yield Improvement,DRC,10002,3411
T16057,2024-12-01 00:00:00,Agri,M&E,Trees,KE,10003,4086
T10422,2024-12-01 00:00:00,Core Program,Field Operations,Farmer Training,RW,10003,2727
T04382,2024-12-01 00:00:00,Education,Field Operations,Yield Improvement,DRC,10001,4589
T16038,2024-12-01 00:00:00,Health,Field Operations,Yield Improvement,KE,10002,4120
T13795,2024-12-01 00:00:00,Retail,Field Operations,Farmer Training,UG,10004,1771
T18363,2024-12-01 00:00:00,Retail,M&E,Expansion,DRC,10001,5632
T04394,2024-12-01 00:00:00,Education,Finance,Expansion,KE,10004,3999
T10389,2024-12-01 00:00:00,Retail,Field Operations,Soil Health,KE,10003,1993
T10406,2024-12-01 00:00:00,Health,M&E,Farmer Training,TZ,10004,2632
T18372,2024-12-01 00:00:00,Core Program,Finance,Soil Health,KE,10005,1440
T10277,2024-12-01 00:00:00,Health,M&E,Soil Health,DRC,10002,4144
T01261,2024-12-01 00:00:00,Education,Finance,Expansion,RW,10004,1535
T18323,2024-12-01 00:00:00,Education,Logistics,Trees,RW,10004,2913
T10268,2024-12-01 00:00:00,Retail,M&E,Farmer Training,UG,10001,408
T18215,2024-12-01 00:00:00,R&D,Field Operations,Farmer Training,KE,10002,3127
T01132,2024-12-01 00:00:00,Agri,Finance,Trees,UG,10003,893
T22033,2024-12-01 00:00:00,Health,Field Operations,Yield Improvement,DRC,10001,1930
T01138,2024-12-01 00:00:00,Core Program,M&E,Yield Improvement,DRC,10001,1340
T22038,2024-12-01 00:00:00,Core Program,Finance,Farmer Training,RW,10005,512
T18487,2024-12-01 00:00:00,Agri,M&E,Expansion,UG,10003,2347
T16097,2024-12-01 00:00:00,Education,Logistics,Yield Improvement,KE,10003,2525
T22251,2024-12-01 00:00:00,Health,Finance,Expansion,KE,10004,4132
T04268,2024-12-01 00:00:00,Education,Field Operations,Trees,RW,10005,3213
T04605,2024-12-01 00:00:00,Health,Logistics,Trees,UG,10001,5262
T10574,2024-12-01 00:00:00,R&D,M&E,Soil Health,KE,10001,3783
T04601,2024-12-01 00:00:00,Agri,M&E,Soil Health,UG,10003,4767
T04653,2024-12-01 00:00:00,Education,Finance,Trees,RW,10001,1544
T16002,2024-12-01 00:00:00,Core Program,M&E,Soil Health,DRC,10002,401
T04587,2024-12-01 00:00:00,Education,Finance,Expansion,UG,10001,2786
T18454,2024-12-01 00:00:00,Education,Field Operations,Expansion,RW,10003,1524
